测试,#genre#
中天新聞台,http://xiangcai.ccccocccc.cc/1/li.php?id=4gtv-4gtv009
民視新聞台,http://xiangcai.ccccocccc.cc/1/li.php?id=litv-ftv13
台視新聞,http://xiangcai.ccccocccc.cc/1/li.php?id=4gtv-4gtv051
華視新聞,http://xiangcai.ccccocccc.cc/1/li.php?id=4gtv-4gtv052
中視新聞,http://xiangcai.ccccocccc.cc/1/li.php?id=4gtv-4gtv074
鏡電視新聞台,http://xiangcai.ccccocccc.cc/1/li.php?id=4gtv-4gtv075
東森新聞台,http://xiangcai.ccccocccc.cc/1/li.php?id=4gtv-4gtv152
TVBS新聞,http://xiangcai.ccccocccc.cc/1/li.php?id=4gtv-4gtv072
寰宇新聞台,http://xiangcai.ccccocccc.cc/1/li.php?id=litv-longturn14
寰宇新聞台灣台,http://xiangcai.ccccocccc.cc/1/li.php?id=4gtv-4gtv156
寰宇新聞台灣台2,http://xiangcai.ccccocccc.cc/1/li.php?id=litv-longturn15
非凡新聞台,http://xiangcai.ccccocccc.cc/1/li.php?id=4gtv-4gtv010
財經頻道,#genre#
寰宇財經台,http://xiangcai.ccccocccc.cc/1/li.php?id=4gtv-4gtv158
寰宇財經台2,http://xiangcai.ccccocccc.cc/1/li.php?id=litv-longturn23
東森財經新聞台,http://xiangcai.ccccocccc.cc/1/li.php?id=4gtv-4gtv153
台視財經,http://xiangcai.ccccocccc.cc/1/li.php?id=4gtv-4gtv056
啊啊啊,#genre#
影迷數位紀實台,http://xiangcai.ccccocccc.cc/1/li.php?id=litv-ftv15
SMART知識台,http://xiangcai.ccccocccc.cc/1/li.php?id=litv-longturn19
視納華仁紀實頻道,http://xiangcai.ccccocccc.cc/1/li.php?id=4gtv-4gtv013
鳳梨直擊台,http://xiangcai.ccccocccc.cc/1/li.php?id=4gtv-4gtv035
香蕉直擊台,http://xiangcai.ccccocccc.cc/1/li.php?id=4gtv-4gtv038
國會頻道1,http://xiangcai.ccccocccc.cc/1/li.php?id=4gtv-4gtv084
國會頻道2,http://xiangcai.ccccocccc.cc/1/li.php?id=4gtv-4gtv085
好消息,http://xiangcai.ccccocccc.cc/1/li.php?id=litv-ftv16
好消息2台,http://xiangcai.ccccocccc.cc/1/li.php?id=litv-ftv17
Pet Club TV,http://xiangcai.ccccocccc.cc/1/li.php?id=4gtv-4gtv110
