香港频道,#genre# 
NBA TV,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Nba
Astro Cricket,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Acricket
Astro Golf,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Agolf
Tnt Sports 1,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=6fac0aaead
TNT Sports 2,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=d9a76a79cc
TNT Sports 3,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=5fea4d73db
TNT Sports 4,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=tntsport4
Sony Ten 1,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=ten1_raj
Sony Ten 2,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=ten2_raj
Sony Ten 3,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=ten3_raj
SPOTV 1 HD,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=go_spotv
SPO TV 2,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=go_spotv2
Skysports F1,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=tiankongf1
Skysports Cricket,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=tiankongcricket
Skysports EPL,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=tiankongepl
Skysports Main Event,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=tiankongmain
Skysports News,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=tiankongnews
Skysports Mix,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=tiankongmix
爱尔达体育2台,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=eltasport2_twn
爱尔达体育3台,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=eltasport3_twn
Rugby Pass TV,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Rugbypasstv
RTM Sports HD,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Rtmsport
Arena,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Arena
Arena 2,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Arena2
BolaArena 1,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Bolaarena1
BolaArena 2,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Bolaarena2
Astro Beinsports 1,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Astrobein1
Astro Beinsports 2,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Astrobein2
Astro Beinsports 3,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Astrobein3

台湾频道,#genre# 
TVBS News 新闻台,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=tvbs_n
TVBS 欢乐台 （备份）,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=tvbshuanle_twn
TVBS HD,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=tvbs
中天新闻 HD,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=ctinews
中天娱乐 CTI Entertaiment,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=ctient
中天综合 CTI Metro,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=ctizhonghe
中天亚洲台,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=ctiasia_twn
台视 TTV HD,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=ttv_taiwan
台视新闻台,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=ttvnews_twn
台视综合台,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=ttvzhonghe
中视 HD,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=zhongshihd_twn
中视新闻台,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=zhongshinews_twn
民视 HD,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=ftvhd_taiwan
民视新闻台 FTV News,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=ftvnew_taiwan
民视台湾台,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=ftvtaiwan_twn
华视 CTS HD,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=ctshd_twn
公视 CTV,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=ctv18_twn
八大第一 GTV First,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=badafirst
八大综合 GTV Metro,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=badazhonghe
八大戏剧 GTV Drama,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=badadrama
八大娱乐 GTV Entertainment,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=badaentertain
HBO_HD,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=hbohd_twn
HBO_HITS,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=hbohit_twn
Hollywood Movies,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=hollywoodmovies_twn
三立台湾 Sanli Taiwan,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=sanlitaiwan
三立戏剧台,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=sanlixiju_twn
三立综合 Sanli Metro,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=sanlizhonghe
三立都会台,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=sanlidouhui
东森新闻 ETTV News,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=ettvnews
CINEMAX,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=cinemax_twn
东森综合 ETTV Metro,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=ettvzhonghe
东森戏剧 ETTV Drama,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=ettvdrama
东森超视,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=ettvsuper
东森财经新闻 ETTV Business,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=ettvcaijing_twn
寰宇财经,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=huanyutaiwan_twn
寰宇新闻台,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=huanyuxinwen_twn
公视2,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=ctv2_twn
大爱1台,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=daai_twn
非凡新闻台,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=feifannews_twn
龙华戏剧 Lunghua Drama,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=lunghuaxiju_twn
龙华经典台,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=lunghuajingdian_twn
龙华偶像,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=lunghuaidol_twn
AXN Taiwan,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=axn_twn
靖天国际台,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=jingtianintl_twn
年代新闻,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=niandainews_twn
纬来日本台,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=videolandjapan
纬来电影台,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=videolandmovie
纬来体育台,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=videolandsport
纬来综合台,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=videolandzonghe
纬来育乐,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=videolandyule
纬来精彩,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=videolandspecial_twn
好消息 2,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=good2_twn
大爱2台,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=daai2_twn
亚洲美食,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=afc_twn
美食星球,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=foodplanet_twn
亚洲旅游 TLC Asia,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=tlc_twn
东森电影 ETTV Movie,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=ettvmovie
